Company,Position,Location,Tags,Description,URL,Salary_Min,Salary_Max,Date,ID
Lockheed Martin,Cyber Software Engineer - SIGINT Systems,"Hanover, Anne Arundel County",,"Job ID: 705203BR Date posted: Jan. 06, 2026 Description: What We're Doing: Lockheed Martin, Cyber & Intelligence invites you to step up to one of today's most daunting challenges: the use of advanced electronics to undermine our way of life. As a cyber security professional at Lockheed Martin, you'll protect the networks that our citizens and the world depend upon each minute: Financial assets. Healthcare information. Critical infrastructure. Hazardous materials. The uninterrupted flow of energ…",https://www.adzuna.com/land/ad/5575887227?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=BB45A562A55092558ECB79F1325D5AC6B4F08208,155114.02,155114.02,2026-01-09T09:41:06Z,5575887227
Lockheed Martin,Software Engineer with Poly SR SWE3,"Savage, Anne Arundel County",,"At Lockheed Martin, we are dedicated to maintaining our leadership in the research, design, development, manufacture, integration, and sustainment of cutting-edge technology systems, products, and services. As part of our Information Technology team, you will contribute to projects critically linked to national security. This role demands a highly skilled Software Engineer with a strong background in software development and a current Polygraph clearance. You will work closely with defense and …",https://www.adzuna.com/land/ad/5591349073?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=21B56F0FB1AD19D30AC8FE1AAD31B118FA0CBC83,141259.6,141259.6,2026-01-19T12:39:28Z,5591349073
Lockheed Martin,Software Engineer with Poly SR SWE1,"Savage, Anne Arundel County",,"Lockheed Martin, a leader in the Aerospace & Defense industry, is seeking an experienced Software Engineer with Poly SR SWE1 to join our dynamic IT & Cybersecurity team. This role will focus on developing and maintaining high-level classified software systems that are critical to national security missions. As a part of our team, you will work in a collaborative environment that values innovation and ethical standards. The right candidate will contribute to all phases of the software developmen…",https://www.adzuna.com/land/ad/5591623116?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=B767C1508424916DF374BF78F17A9F02599B1B6E,164776.66,164776.66,2026-01-19T15:35:33Z,5591623116
Lockheed Martin,Software Engineer with Poly SR SWE2,"Savage, Anne Arundel County",,"Lockheed Martin, a global leader in aerospace, defense, and advanced technologies, is seeking a highly skilled Software Engineer with Polygraph Senior Level 2 (SR SWE2) to join our dynamic IT and Data Management team. At Lockheed Martin, we're committed to ethical standards, inclusivity, and fostering an environment of teamwork. In this role, you will design, develop, and maintain mission-critical systems that support global security missions. Your expertise will contribute to the ongoing innov…",https://www.adzuna.com/land/ad/5591349278?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=81F56384D6954D9E7E72C2516B4883C1AF54626C,155300.97,155300.97,2026-01-19T12:39:37Z,5591349278
Lockheed Martin,Software Engineer with Poly SR SWE1,"Simpsonville, Howard County",,"Job ID: 712532BR Date posted: Dec. 05, 2025 Description: THE WORK This senior role fosters collaboration with other senior engineers for the development of advanced data analytics solutions and agile development projects in support of a high-visibility mission. This position involves providing technical leadership and guidance on data analytics and agile development projects, as well as collaborating with cross-functional teams to drive mission objectives. WHO WE ARE At Lockheed Martin, we‘re a…",https://www.adzuna.com/land/ad/5588781592?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=4EC2B051D85A018FD8C184E9F0DCBE012DF573CE,175021.53,175021.53,2026-01-16T22:24:04Z,5588781592
Lockheed Martin,Software Engineer with Poly SR SWE1,"Savage, Anne Arundel County",,"Job ID: 712532BR Date posted: Dec. 05, 2025 Description: THE WORK This senior role fosters collaboration with other senior engineers for the development of advanced data analytics solutions and agile development projects in support of a high-visibility mission. This position involves providing technical leadership and guidance on data analytics and agile development projects, as well as collaborating with cross-functional teams to drive mission objectives. WHO WE ARE At Lockheed Martin, we‘re a…",https://www.adzuna.com/land/ad/5589955635?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=AEA3329372FA7CFE0EBF650B3DF407FCE42F756D,186516.02,186516.02,2026-01-17T19:08:40Z,5589955635
Lockheed Martin,Software Engineer with Poly SR SWE3,"Savage, Anne Arundel County",,"Job ID: 709262BR Date posted: Oct. 29, 2025 Description: THE WORK This senior role fosters collaboration with other senior engineers for the development of advanced data analytics solutions and agile development projects in support of a high-visibility mission. This position involves providing technical leadership and guidance on data analytics and agile development projects, as well as collaborating with cross-functional teams to drive mission objectives. WHO WE ARE At Lockheed Martin, we're a…",https://www.adzuna.com/land/ad/5577493731?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=2CDE21B79FBA9B5850280DC5E787DB68EFE7334E,202797.08,202797.08,2026-01-10T01:02:26Z,5577493731
Lockheed Martin,Expert Modernization Software Engineer - SWE3,"Hanover, Anne Arundel County",,"Job ID: 693716BR Date posted: Jan. 06, 2026 Description: Who You Are: • Here, you are going to provide life-cycle services to advance mission in support of Cybersecurity and SIGINT midpoint collection. • You will modernize and sustain capabilities to include providing new features and enhancements to Front End Solutions systems. This will allow for products to work at-scale with processing of target communications across multiple types of Midpoint accesses. • You will propel the customer into t…",https://www.adzuna.com/land/ad/5589372056?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=0005666B0052F38AB4EE7B74A5085595FE9B7AC8,127539.17,127539.17,2026-01-17T12:59:05Z,5589372056
Lockheed Martin,Specialized Modernization Software Engineer - SWE2,"Hanover, Anne Arundel County",,"Job ID: 699317BR Date posted: ene 06, 2026 Description: Who You Are: • Here, you are going to provide life-cycle services to advance mission in support of Cybersecurity and SIGINT midpoint collection. • You will modernize and sustain capabilities to include providing new features and enhancements to Front End Solutions systems. This will allow for products to work at-scale with processing of target communications across multiple types of Midpoint accesses. • You will propel the customer into th…",https://www.adzuna.com/land/ad/5590960790?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=2A6CF4851049ADA8A571A35C7DB0F3FB013E5EA3,144016.98,144016.98,2026-01-18T20:58:07Z,5590960790
L3Harris Technologies,"Software Engineers (C++, Java, Linux)","Greenville, Hunt County",,"L3Harris is dedicated to recruiting and developing high-performing talent who are passionate about what they do. Our employees are unified in a shared dedication to our customers’ mission and quest for professional growth. L3Harris provides an inclusive, engaging environment designed to empower employees and promote work-life success. Fundamental to our culture is an unwavering focus on values, dedication to our communities, and commitment to excellence in everything we do. L3Harris Technologie…",https://www.adzuna.com/land/ad/5595343821?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=2AF3F0BA8B229DFE577013B635D7E7D8669ACABF,65661.56,65661.56,2026-01-22T07:01:35Z,5595343821
L3Harris Technologies,"Software Engineers (C++, Java, Linux)","Greenville, Hunt County",,"L3Harris is dedicated to recruiting and developing high-performing talent who are passionate about what they do. Our employees are unified in a shared dedication to our customers’ mission and quest for professional growth. L3Harris provides an inclusive, engaging environment designed to empower employees and promote work-life success. Fundamental to our culture is an unwavering focus on values, dedication to our communities, and commitment to excellence in everything we do. L3Harris Technologie…",https://www.adzuna.com/land/ad/5595321717?se=tppQqNn48BGQX4le8SOzFA&utm_medium=api&utm_source=ede2e44c&v=1DF104E9DA483A4BA678469275023E7977B2D2BD,70449.88,70449.88,2026-01-22T05:50:29Z,5595321717
